Campaign_ID,Company_ID,Campaign_Name,Objective,Object_Description,CTA,Start_Date,End_Date,Duration,Impressions,Clicks,Conversions,Budget,Total_Budget,Revenue,Platform
1,CMP003,Boost Your Basket,Generate Leads,Drive traffic to website,Get Offer,6/21/2024,7/21/2024,25,183336,4767,3485,"$2,660.13 ","$2,697.02 ","$6,804.93 ",Google
2,CMP006,Summer Sales Splash,Generate Leads,Promote new product,Get Offer,6/11/2024,7/11/2024,30,167584,8692,3987,"$2,542.14 ","$2,436.65 ","$7,557.51 ",Google
3,CMP003,Click & Convert,Website Traffic,Drive traffic to website,Order Now,6/3/2024,6/21/2024,10,145607,4114,3169,"$3,476.33 ","$3,294.23 ","$6,978.70 ",Youtube
4,CMP006,Cart Booster,Increase Sales,Retarget old users,Try It Today,6/16/2024,7/13/2024,27,175584,8932,2780,"$5,372.86 ","$5,229.11 ","$7,416.91 ",Youtube
5,CMP004,Flash Deal Drive,Generate Leads,Promote new product,Get Offer,6/7/2024,7/21/2024,44,180135,5579,1203,"$3,113.28 ","$2,924.34 ","$3,429.04 ",Google
6,CMP002,Product Power Push,Website Traffic,Drive traffic to website,Try It Today,6/29/2024,7/14/2024,15,172993,5802,1385,"$4,743.34 ","$4,772.47 ","$3,646.59 ",Google
7,CMP004,One-Day Wonder,Increase Sales,Promote new product,Buy It Now,6/24/2024,7/27/2024,33,152954,6627,2998,"$5,182.65 ","$5,189.51 ","$7,989.23 ",Google
8,CMP004,New Drop Buzz,Generate Leads,Retarget old users,Order Now,6/6/2024,7/4/2024,28,95157,6161,4475,"$3,799.02 ","$3,510.57 ","$13,368.17 ",Youtube
9,CMP006,Smart Shopper Sprint,Increase Sales,Retarget old users,Shop the Look,6/12/2024,6/27/2024,10,118478,7571,4078,"$5,253.85 ","$4,911.14 ","$7,892.57 ",Instagram
10,CMP003,Try It to Love It,Website Traffic,Drive traffic to website,Buy It Now,6/4/2024,7/14/2024,40,165766,8168,4556,"$4,480.22 ","$4,790.72 ","$10,382.79 ",Instagram
11,CMP006,Shop Now Shine,Website Traffic,Retarget old users,Order Now,6/6/2024,6/30/2024,24,148878,6567,4232,"$3,223.80 ","$2,983.89 ","$11,976.49 ",Instagram
12,CMP002,Upgrade Your Game,Generate Leads,Promote new product,Try It Today,6/29/2024,7/16/2024,17,108681,8764,4327,"$2,618.73 ","$2,854.74 ","$9,679.33 ",Google
13,CMP003,Swipe to Buy,Website Traffic,Drive traffic to website,Shop the Look,6/15/2024,7/17/2024,30,193079,5523,4667,"$3,375.97 ","$3,484.79 ","$7,284.01 ",Youtube
14,CMP002,End of Season Surge,Increase Sales,Retarget old users,Shop the Look,6/12/2024,7/23/2024,41,92663,5272,1604,"$3,818.82 ","$4,138.44 ","$2,439.42 ",Youtube
15,CMP003,Ultimate Product Promo,Increase Sales,Increase visits,Order Now,6/24/2024,7/30/2024,36,168535,8279,3913,"$5,921.46 ","$5,915.49 ","$5,965.21 ",Google
16,CMP003,Buy It Big,Increase Sales,Increase visits,Get Offer,6/13/2024,7/15/2024,30,189277,5377,1482,"$3,862.34 ","$4,172.30 ","$4,413.25 ",Facebook
17,CMP003,InstaShop Launch,Brand Awareness,Retarget old users,Try It Today,6/27/2024,7/26/2024,29,119099,7191,3530,"$2,732.84 ","$2,782.25 ","$9,658.55 ",Google
18,CMP003,Mega Sale Madness,Increase Sales,Retarget old users,Try It Today,6/9/2024,7/6/2024,27,106195,4414,1859,"$2,474.03 ","$2,599.88 ","$3,121.91 ",Facebook
19,CMP006,Product Perfect Pitch,Website Traffic,Drive traffic to website,Order Now,6/20/2024,7/29/2024,39,137467,5147,1718,"$4,139.35 ","$4,432.47 ","$5,102.11 ",Youtube
20,CMP005,Direct to Cart,Generate Leads,Drive traffic to website,Order Now,6/30/2024,7/30/2024,30,183715,7134,3659,"$3,470.34 ","$3,554.15 ","$8,399.24 ",Youtube
21,CMP003,Flash Fashion Fix,Increase Sales,Promote new product,Try It Today,6/25/2024,7/30/2024,33,187841,5257,4382,"$4,798.69 ","$4,760.72 ","$9,187.31 ",Youtube
22,CMP001,Smart Tech Sale,Increase Sales,Drive traffic to website,Get Offer,6/27/2024,7/30/2024,33,118044,4679,3183,"$2,298.76 ","$2,166.28 ","$9,449.96 ",Google
23,CMP003,Unbox the Deal,Brand Awareness,Retarget old users,Get Offer,6/14/2024,7/26/2024,42,94282,7060,2061,"$4,387.02 ","$4,195.63 ","$4,409.45 ",Instagram
24,CMP003,Cart Filler Campaign,Increase Sales,Drive traffic to website,Order Now,6/10/2024,7/17/2024,37,182015,4135,4766,"$5,053.86 ","$5,420.22 ","$10,505.82 ",Instagram
25,CMP006,Limited Time Lift,Generate Leads,Retarget old users,Try It Today,6/6/2024,7/2/2024,20,113937,9150,4250,"$2,802.27 ","$2,552.18 ","$9,433.78 ",Instagram
26,CMP006,Brand Boost Blast,Website Traffic,Increase visits,Buy It Now,6/15/2024,7/28/2024,43,130775,9050,2482,"$2,260.58 ","$2,405.14 ","$4,288.42 ",Facebook
