AD_ID,Campaign_ID,Headline,Creative,Description
AD0001,37,Unlock your reach,post,This ad helps build brand loyalty with stunning visuals.
AD0002,9,Discover your business,video,This ad helps drive traffic with interactive content.
AD0003,33,Discover your performance,carousel,A unique offer to increase conversions with clear messaging.
AD0004,39,Unlock your performance,video,A unique offer to build brand loyalty with interactive content.
AD0005,44,Unlock your reach,video,Our campaign is designed to drive traffic with stunning visuals.
AD0006,46,Unlock your potential,post,A unique offer to increase conversions with interactive content.
AD0007,13,Boost your performance,carousel,A unique offer to increase conversions with stunning visuals.
AD0008,28,Boost your performance,post,A unique offer to increase conversions with clear messaging.
AD0009,38,Unlock your performance,video,This ad helps build brand loyalty with interactive content.
AD0010,60,Unlock your performance,post,A unique offer to drive traffic with clear messaging.
AD0011,43,Transform your potential,post,This ad helps increase conversions with interactive content.
AD0012,19,Boost your reach,post,This ad helps engage users with stunning visuals.
AD0013,25,Unlock your business,image,Our campaign is designed to build brand loyalty with stunning visuals.
AD0014,59,Discover your reach,post,This ad helps build brand loyalty with interactive content.
AD0015,31,Transform your performance,post,Our campaign is designed to build brand loyalty with stunning visuals.
AD0016,21,Transform your business,image,A unique offer to drive traffic with stunning visuals.
AD0017,8,Transform your potential,video,Our campaign is designed to increase conversions with clear messaging.
AD0018,37,Boost your reach,carousel,A unique offer to drive traffic with interactive content.
AD0019,17,Transform your potential,post,This ad helps drive traffic with stunning visuals.
AD0020,27,Discover your business,carousel,This ad helps build brand loyalty with stunning visuals.
AD0021,12,Boost your performance,carousel,A unique offer to engage users with stunning visuals.
AD0022,33,Boost your potential,image,This ad helps engage users with clear messaging.
AD0023,25,Boost your performance,post,A unique offer to increase conversions with clear messaging.
AD0024,42,Boost your performance,post,This ad helps increase conversions with clear messaging.
AD0025,11,Discover your performance,video,Our campaign is designed to increase conversions with clear messaging.
AD0026,12,Discover your reach,post,This ad helps build brand loyalty with interactive content.
AD0027,36,Boost your potential,carousel,This ad helps build brand loyalty with clear messaging.
AD0028,10,Transform your potential,image,Our campaign is designed to engage users with interactive content.
AD0029,56,Discover your reach,post,A unique offer to increase conversions with stunning visuals.
AD0030,41,Discover your potential,image,A unique offer to build brand loyalty with clear messaging.
AD0031,17,Boost your performance,video,Our campaign is designed to drive traffic with interactive content.
AD0032,10,Boost your reach,carousel,Our campaign is designed to drive traffic with clear messaging.
AD0033,16,Discover your business,video,This ad helps drive traffic with clear messaging.
AD0034,18,Discover your business,image,A unique offer to drive traffic with interactive content.
AD0035,39,Unlock your reach,carousel,Our campaign is designed to engage users with clear messaging.
AD0036,9,Transform your potential,carousel,A unique offer to build brand loyalty with interactive content.
AD0037,8,Transform your potential,video,A unique offer to increase conversions with stunning visuals.
AD0038,58,Boost your potential,image,This ad helps engage users with clear messaging.
AD0039,7,Boost your business,image,Our campaign is designed to build brand loyalty with stunning visuals.
AD0040,13,Unlock your business,image,A unique offer to drive traffic with clear messaging.
AD0041,34,Boost your potential,video,This ad helps build brand loyalty with interactive content.
AD0042,10,Boost your potential,carousel,A unique offer to build brand loyalty with interactive content.
AD0043,48,Transform your reach,post,Our campaign is designed to engage users with clear messaging.
AD0044,26,Discover your performance,video,A unique offer to build brand loyalty with stunning visuals.
AD0045,8,Discover your potential,image,A unique offer to engage users with interactive content.
AD0046,8,Discover your reach,carousel,A unique offer to increase conversions with stunning visuals.
AD0047,3,Unlock your potential,carousel,This ad helps build brand loyalty with stunning visuals.
AD0048,26,Boost your performance,image,A unique offer to increase conversions with clear messaging.
AD0049,27,Boost your business,post,Our campaign is designed to increase conversions with stunning visuals.
AD0050,34,Discover your business,image,Our campaign is designed to build brand loyalty with stunning visuals.
AD0051,4,Boost your business,post,Our campaign is designed to engage users with interactive content.
AD0052,59,Unlock your performance,image,Our campaign is designed to engage users with interactive content.
AD0053,47,Boost your reach,post,This ad helps drive traffic with stunning visuals.
AD0054,55,Unlock your performance,image,A unique offer to build brand loyalty with stunning visuals.
AD0055,51,Unlock your business,carousel,A unique offer to increase conversions with stunning visuals.
AD0056,13,Transform your business,post,Our campaign is designed to drive traffic with clear messaging.
AD0057,60,Discover your reach,video,This ad helps increase conversions with stunning visuals.
AD0058,30,Discover your potential,image,This ad helps engage users with interactive content.
AD0059,9,Transform your potential,post,Our campaign is designed to build brand loyalty with clear messaging.
AD0060,37,Discover your reach,video,Our campaign is designed to increase conversions with clear messaging.
